127.0.0.1 - - [02/Apr/2022:14:33:31 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Apr/2022:14:36:10 -0300] "GET /JavaWeb/pages/TelaEstados.xhtml HTTP/1.1" 500 14395
0:0:0:0:0:0:0:1 - - [02/Apr/2022:14:36:10 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Apr/2022:14:47:43 -0300] "GET /JavaWeb/pages/TelaEstados.xhtml HTTP/1.1" 500 14395
0:0:0:0:0:0:0:1 - - [02/Apr/2022:14:47:45 -0300] "GET /JavaWeb/pages/TelaEstados.xhtml HTTP/1.1" 500 14395
0:0:0:0:0:0:0:1 - - [02/Apr/2022:14:47:45 -0300] "GET /JavaWeb/pages/TelaEstados.xhtml HTTP/1.1" 500 14395
0:0:0:0:0:0:0:1 - - [02/Apr/2022:14:47:46 -0300] "GET /JavaWeb/pages/TelaEstados.xhtml HTTP/1.1" 500 14395
0:0:0:0:0:0:0:1 - - [02/Apr/2022:14:48:16 -0300] "GET /JavaWeb/pages/TelaEstados.xhtml HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [02/Apr/2022:14:48:16 -0300] "GET /JavaWeb/javax.faces.resource/core.js.xhtml;jsessionid=DDE90F6C090D2101BF030DB7DCDEEDFE?ln=primefaces&v=6.2 HTTP/1.1" 200 31279
0:0:0:0:0:0:0:1 - - [02/Apr/2022:14:48:16 -0300] "GET /JavaWeb/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=DDE90F6C090D2101BF030DB7DCDEEDFE?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [02/Apr/2022:14:48:16 -0300] "GET /JavaWeb/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=DDE90F6C090D2101BF030DB7DCDEEDFE?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [02/Apr/2022:14:48:16 -0300] "GET /JavaWeb/javax.faces.resource/components.js.xhtml;jsessionid=DDE90F6C090D2101BF030DB7DCDEEDFE?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
0:0:0:0:0:0:0:1 - - [02/Apr/2022:14:48:16 -0300] "GET /JavaWeb/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 200 34943
0:0:0:0:0:0:0:1 - - [02/Apr/2022:14:48:16 -0300] "GET /JavaWeb/javax.faces.resource/components.css.xhtml;jsessionid=DDE90F6C090D2101BF030DB7DCDEEDFE?ln=primefaces&v=6.2 HTTP/1.1" 200 85405
0:0:0:0:0:0:0:1 - - [02/Apr/2022:14:59:56 -0300] "GET /JavaWeb/pages/TelaEstados.xhtml HTTP/1.1" 200 4665
